config,sndwindow,iter,bandwidth,byteerror,packeterror
first,100,0,159.87766097381987,0.9649145411386917,0.4850602051434517
first,100,1,169.54344405716114,0.9632742463811926,0.45696447153262965
first,100,2,163.14343612087401,0.9646370290347038,0.48178980228928203
first,100,3,161.2160723170567,0.9651524086563954,0.4846142411178832
first,100,4,166.44713951985685,0.9632891131010491,0.46900550022298204
first,100,5,161.55435224889666,0.9657421218773694,0.48847926267281105
first,100,6,166.98512531645375,0.9635220250454674,0.4669243347703286
first,100,7,168.97615288585772,0.9635963586447498,0.46276200386502153
first,100,8,170.2931502753345,0.962268265004237,0.458153708934146
first,100,9,166.85805347894353,0.9635765363516078,0.4707893563252564
first,110,0,198.1776375960544,0.9537892791127541,0.3106882711461275
first,110,1,193.48258656720895,0.9535960117546198,0.32882414151925077
first,110,2,195.71481879282237,0.9531995658917802,0.3164858034785194
first,110,3,197.03986455636255,0.9534275222629129,0.3114315445220752
first,110,4,197.70959836565726,0.9535216781553374,0.3080124869927159
first,110,5,197.04496350861672,0.9539032572983206,0.3112828898468857
first,110,6,199.2025061649778,0.9527040085632307,0.30712055894157875
first,110,7,196.30162551821405,0.9537892791127541,0.3172290768544671
first,110,8,187.34639782801705,0.9553403735511142,0.35067637877211233
first,110,9,198.81307752042918,0.951177691991298,0.30860710569347405
first,120,0,198.60442953282984,0.948947684012825,0.2461721421138695
first,120,1,202.2828468627139,0.9478029465838755,0.23056340121896834
first,120,2,204.96679995501844,0.9454193158335522,0.22327932213468116
first,120,3,198.7594390507012,0.9473619005614664,0.23309053069719043
first,120,4,204.83260886242684,0.9461725629729475,0.2194143005797532
first,120,5,201.43219842458174,0.947857457890016,0.23338784004756952
first,120,6,203.0352588186047,0.946846520939775,0.22610376096328233
first,120,7,202.08052448619284,0.948437259964419,0.23204994797086365
first,120,8,203.24714685840894,0.9472627890957566,0.22907685446707304
first,120,9,201.7495050401791,0.9482241703131427,0.2274416530399881
first,130,0,199.2802660453785,0.9441506890724654,0.18284525048312772
first,130,1,197.21162365960834,0.9442250226717478,0.1893860561914672
first,130,2,192.6963647941527,0.9468762543794879,0.20677865318864275
first,130,3,199.63473088473089,0.9436452205973448,0.17779099152668354
first,130,4,198.43074413333622,0.9449782698111431,0.18269659580793818
first,130,5,201.2430572961506,0.9436006204377754,0.17645309944997767
first,130,6,194.75277376793514,0.9450030476775706,0.19310242307120562
first,130,7,198.79772644363726,0.9430009960702304,0.18180466775680093
first,130,8,171.47477736199343,0.9521192509155422,0.2970120410286904
first,130,9,200.25508511082447,0.9446462464010149,0.177642336851494
first,140,0,197.01675410998558,0.940666921052762,0.12992418611565337
first,140,1,196.78121274682078,0.9409246108636078,0.13378920767058122
first,140,2,197.61506364772413,0.9399681852195071,0.1215995243050394
first,140,3,190.27370407770997,0.9417967917618549,0.15876319310242304
first,140,4,195.7525101666247,0.9426392392203892,0.13750557455031964
first,140,5,197.85168381538793,0.9390414930151194,0.12873494871413704
first,140,6,197.77143114149501,0.9409047885704658,0.12843763936375796
first,140,7,198.02091989738773,0.9419999702665602,0.13096476884198005
first,140,8,199.06916731947834,0.9409146997170368,0.1223427976809871
first,140,9,195.67130231708734,0.940037563245504,0.12397799910807195
first,150,0,191.41094279124476,0.9325893365974043,0.09365244536940687
first,150,1,190.8137182643604,0.937847199853315,0.09558495614687079
first,150,2,191.73825090152158,0.938327890462008,0.09261186264308008
first,150,3,190.57373852912886,0.937976044758738,0.09186858926713248
first,150,4,190.90231483471382,0.9362961054149549,0.09766612159952426
first,150,5,192.34585087920985,0.9375349987363288,0.09216589861751157
first,150,6,192.09053804275828,0.9302007502737955,0.09469302809573366
first,150,7,191.01477712848552,0.9378075552670311,0.09603092017243942
first,150,8,191.89974011604855,0.9373565980980509,0.09588226549724987
first,150,9,192.3758315310475,0.9374507539904754,0.09335513601902778
first,160,0,174.4985949145153,0.9386202692858523,0.08369258213170805
first,160,1,185.9932614581951,0.9349927896408696,0.06942173331351276
first,160,2,183.4477251777526,0.9339223858112026,0.0710569347405976
first,160,3,182.9537841294665,0.9373516425247654,0.07715177642336857
first,160,4,184.4107063947983,0.9372327087659136,0.07358406421881969
first,160,5,175.91702489994665,0.937767910680747,0.08324661810613943
first,160,6,181.95219295322406,0.9375944656157548,0.08012486992715917
first,160,7,185.28666111154288,0.936177171656103,0.06674594916010113
first,160,8,185.96997963918747,0.9370146635413518,0.06585402110896388
first,160,9,184.9767976280922,0.9363258388546679,0.07224617214211382
first,170,0,175.69852748688092,0.9347499665498803,0.05217779099152664
first,170,1,177.99417365552506,0.9270936058237897,0.050245280214062715
first,170,2,176.87306642023023,0.9354189689434222,0.05351568306823251
first,170,3,174.66925435932382,0.922816946078407,0.06525940240820571
first,170,4,177.0999088722735,0.9297151040918169,0.055299539170506895
first,170,5,175.0428891413433,0.933456561922366,0.05708339527278128
first,170,6,177.3839624848235,0.9351216345462925,0.05306971904266389
first,170,7,174.68337537695615,0.9368610407695014,0.06600267578415342
first,170,8,176.1079227623283,0.933986808263914,0.06243496357960454
first,170,9,177.31743848274408,0.9331542719519508,0.05083989891482088
first,180,0,170.16420920625944,0.9337885853324942,0.03716366879738364
first,180,1,170.95856768830143,0.9320045789497158,0.03969079827560573
first,180,2,165.3072331491596,0.9331245385122378,0.06986769733908127
first,180,3,170.7144198025569,0.9231142804755368,0.03567712204548834
first,180,4,169.37444859965078,0.9348589891621613,0.040136762301174356
